type,detail
Nom,Shop suey poulet
Ingredients,4 escalopes
Ingredients,1 oignon
Ingredients,2 carottes
Ingredients,1 courgette
Ingredients,1 petite boîte d'épis de maïs
Ingredients,100 g de germe de soja
Ingredients,3 cuillères à soupe de siave (sauce soja)
Ingredients,2 cuillères à soupe de sauce huître
Ingredients,4 gousses d'ail
Ingredients,gingembre
Ingredients,Huile
Ingredients,sel et poivre
Preparation,"Couper les escalopes et les faire mariner 20 min dans l'ail, le gingembre, le siave, la sauce huître et le poivre".
Preparation,"Couper les carottes, la courgette et l'oignon."
Preparation,"Dans l'huile, faire rosir la viande avec l'oignon."
Preparation,"Rajouter les carottes (environ 2 min après), puis la courgette, les maïs et le soja."
Preparation,Saler et poivrer
Cuisson,5 à 7 min à feu vif
